"","ID","fishing.effort.df","Solution","Category","geometry"
"6523",51,NA,"Outside","Escenario III: Comunidades",c(-116.629103877999, 31.5769452369126)
"6524",52,NA,"Outside","Escenario III: Comunidades",c(-116.629103878002, 31.47694525459)
"6525",53,276.026097012267,"Outside","Escenario III: Comunidades",c(-116.629103878001, 31.3769452720869)
"6526",54,355.987355064329,"Inside","Escenario III: Comunidades",c(-116.629103877998, 31.2769452893817)
"6527",55,564.970062927142,"Inside","Escenario III: Comunidades",c(-116.629103877999, 31.1769453064848)
"6528",56,36,"Outside","Escenario III: Comunidades",c(-116.529103878001, 31.47694525459)
"6529",57,1306.89301217213,"Outside","Escenario III: Comunidades",c(-116.529103878002, 31.3769452720873)
"6530",58,447.041957761739,"Inside","Escenario III: Comunidades",c(-116.529103878004, 31.2769452893806)
"6531",59,538.996126073746,"Inside","Escenario III: Comunidades",c(-116.529103878002, 31.1769453064848)
"6532",60,483.988424978348,"Inside","Escenario III: Comunidades",c(-116.529103878, 31.0769453234036)
"6533",61,1144.92111459798,"Inside","Escenario III: Comunidades",c(-116.529103878, 30.9769453401258)
"6534",62,841.985438656577,"Inside","Escenario III: Comunidades",c(-116.529103878003, 30.8769453566612)
"6535",63,61.0407593934875,"Inside","Escenario III: Comunidades",c(-116.529103878003, 30.7769453730044)
"6536",64,261.04056129689,"Outside","Escenario III: Comunidades",c(-116.429103878001, 31.3769452720878)
"6537",65,1109.92938550697,"Inside","Escenario III: Comunidades",c(-116.429103878001, 31.2769452893817)
"6538",66,472.03645212211,"Inside","Escenario III: Comunidades",c(-116.429103877999, 31.1769453064835)
"6539",67,727.976910411345,"Outside","Escenario III: Comunidades",c(-116.429103877999, 31.0769453234034)
"6540",68,602.027784461173,"Outside","Escenario III: Comunidades",c(-116.429103877999, 30.9769453401259)
"6541",69,508.017988210179,"Outside","Escenario III: Comunidades",c(-116.429103877998, 30.8769453566624)
"6542",70,607.973416179106,"Outside","Escenario III: Comunidades",c(-116.429103877999, 30.776945373004)
"6543",71,162.036761687881,"Inside","Escenario III: Comunidades",c(-116.329103877999, 31.2769452893805)
"6544",72,740.958846134925,"Outside","Escenario III: Comunidades",c(-116.329103878001, 31.1769453064847)
"6545",73,180.05111405953,"Outside","Escenario III: Comunidades",c(-116.329103878002, 31.0769453234034)
"6546",74,5118.56109238524,"Outside","Escenario III: Comunidades",c(-116.329103878002, 30.9769453401249)
"6547",75,593.239137045208,"Outside","Escenario III: Comunidades",c(-116.329103878001, 30.8769453566627)
"6548",76,486.010479844335,"Outside","Escenario III: Comunidades",c(-116.329103878001, 30.7769453730041)
"6549",77,611.975837395051,"Outside","Escenario III: Comunidades",c(-116.329103878002, 30.6769453891646)
"6550",78,246.188964772121,"Outside","Escenario III: Comunidades",c(-116.229103878001, 30.976945340125)
"6551",79,132.023993343739,"Outside","Escenario III: Comunidades",c(-116.229103878001, 30.876945356662)
"6552",80,179.009380470894,"Outside","Escenario III: Comunidades",c(-116.229103878001, 30.7769453730045)
"6553",81,134.020961611458,"Outside","Escenario III: Comunidades",c(-116.229103878001, 30.6769453891623)
"6554",82,133.000055053314,"Outside","Escenario III: Comunidades",c(-116.229103878, 30.5769454051373)
"6555",83,130.996928630287,"Outside","Escenario III: Comunidades",c(-116.229103878, 30.4769454209127)
"6556",84,86.0001971413659,"Outside","Escenario III: Comunidades",c(-116.229103878001, 30.3769454365172)
"6557",85,41.001910351306,"Outside","Escenario III: Comunidades",c(-116.229103878, 30.2769454519208)
"6558",86,76.0021719164403,"Outside","Escenario III: Comunidades",c(-116.129103877999, 30.876945356662)
"6559",87,1983.82748904116,"Outside","Escenario III: Comunidades",c(-116.129103878, 30.776945373005)
"6560",88,171.096266959988,"Outside","Escenario III: Comunidades",c(-116.129103878, 30.6769453891624)
"6561",89,33.0113367994599,"Outside","Escenario III: Comunidades",c(-116.129103878, 30.5769454051355)
"6562",90,34.003707455773,"Outside","Escenario III: Comunidades",c(-116.129103877999, 30.4769454209143)
"6563",91,115.994378924404,"Outside","Escenario III: Comunidades",c(-116.129103877999, 30.3769454365166)
"6564",92,110.997558080211,"Outside","Escenario III: Comunidades",c(-116.129103878001, 30.2769454519216)
"6565",93,61.0015313108632,"Outside","Escenario III: Comunidades",c(-116.129103878001, 30.1769454671478)
"6566",94,510.057157729119,"Outside","Escenario III: Comunidades",c(-116.029103877999, 30.7769453730053)
"6567",95,720.967304096408,"Outside","Escenario III: Comunidades",c(-116.029103878, 30.6769453891631)
"6568",96,102.030780956338,"Outside","Escenario III: Comunidades",c(-116.029103878001, 30.5769454051349)
"6569",97,101.99736295781,"Outside","Escenario III: Comunidades",c(-116.029103878, 30.4769454209137)
"6570",98,75.0015898062592,"Outside","Escenario III: Comunidades",c(-116.029103877998, 30.3769454365159)
"6571",99,114.999844890722,"Outside","Escenario III: Comunidades",c(-116.029103877996, 30.2769454519223)
"6572",100,202.989682447424,"Outside","Escenario III: Comunidades",c(-116.029103877997, 30.1769454671477)
"6573",101,135.000082469065,"Outside","Escenario III: Comunidades",c(-116.029103877998, 30.07694548219)
"6574",102,97.0001110079979,"Outside","Escenario III: Comunidades",c(-116.029103877999, 29.9769454970505)
"6575",103,50.003249624503,"Outside","Escenario III: Comunidades",c(-116.029103878, 29.8769455117231)
"6576",104,45.0020989064332,"Outside","Escenario III: Comunidades",c(-116.029103878, 29.7769455262145)
"6577",105,NA,"Outside","Escenario III: Comunidades",c(-115.929103877999, 30.4769454209133)
"6578",106,61,"Outside","Escenario III: Comunidades",c(-115.929103878, 30.3769454365155)
"6579",107,75.0007879611426,"Outside","Escenario III: Comunidades",c(-115.929103878002, 30.2769454519231)
"6580",108,160.996927009841,"Outside","Escenario III: Comunidades",c(-115.929103878003, 30.1769454671477)
"6581",109,76.0069478466413,"Inside","Escenario III: Comunidades",c(-115.929103878002, 30.0769454821904)
"6582",110,28.0053143833922,"Inside","Escenario III: Comunidades",c(-115.929103878001, 29.9769454970504)
"6583",111,38.999820414383,"Outside","Escenario III: Comunidades",c(-115.929103877999, 29.8769455117226)
"6584",112,67.9975055306874,"Outside","Escenario III: Comunidades",c(-115.929103877999, 29.7769455262152)
"6585",113,140.994171586296,"Outside","Escenario III: Comunidades",c(-115.929103878, 29.6769455405249)
"6586",114,61,"Outside","Escenario III: Comunidades",c(-115.829103878001, 30.3769454365173)
"6587",115,52.0013825647425,"Outside","Escenario III: Comunidades",c(-115.829103878001, 30.2769454519231)
"6588",116,88.000862660903,"Outside","Escenario III: Comunidades",c(-115.829103878, 30.1769454671471)
"6589",117,8.00702280249495,"Inside","Escenario III: Comunidades",c(-115.829103878, 30.0769454821901)
"6590",118,8.0007757023501,"Inside","Escenario III: Comunidades",c(-115.829103878, 29.9769454970503)
"6591",119,33.5002132665601,"Outside","Escenario III: Comunidades",c(-115.829103878001, 29.8769455117221)
"6592",120,24.0017062581454,"Inside","Escenario III: Comunidades",c(-115.829103878001, 29.7769455262151)
"6593",121,111.996248990212,"Outside","Escenario III: Comunidades",c(-115.829103878, 29.6769455405249)
"6594",122,140.995480877002,"Outside","Escenario III: Comunidades",c(-115.829103877998, 29.5769455546501)
"6595",123,NA,"Outside","Escenario III: Comunidades",c(-115.729103877999, 29.9769454970513)
"6596",124,NA,"Outside","Escenario III: Comunidades",c(-115.729103878, 29.8769455117226)
"6597",125,NA,"Inside","Escenario III: Comunidades",c(-115.729103877999, 29.776945526214)
"6598",126,68.0017061312786,"Inside","Escenario III: Comunidades",c(-115.729103878001, 29.6769455405265)
"6599",127,188.998138496555,"Outside","Escenario III: Comunidades",c(-115.729103878002, 29.5769455546482)
"6600",128,198.995138696713,"Outside","Escenario III: Comunidades",c(-115.729103877999, 29.4769455686004)
"6601",129,NA,"Inside","Escenario III: Comunidades",c(-115.629103878, 29.7769455262143)
"6602",130,NA,"Inside","Escenario III: Comunidades",c(-115.629103878, 29.676945540527)
"6603",131,21.0065150371847,"Outside","Escenario III: Comunidades",c(-115.629103877998, 29.5769455546475)
"6604",132,255.984703815984,"Outside","Escenario III: Comunidades",c(-115.629103878, 29.4769455686)
"6605",133,2.00065923733836,"Outside","Escenario III: Comunidades",c(-115.629103877998, 28.0769457452645)
"6606",134,NA,"Outside","Escenario III: Comunidades",c(-115.529103877999, 29.6769455405266)
"6607",135,NA,"Inside","Escenario III: Comunidades",c(-115.529103878, 29.5769455546482)
"6608",136,49.0080269522838,"Outside","Escenario III: Comunidades",c(-115.529103878, 29.4769455686003)
"6609",137,234.992990914487,"Outside","Escenario III: Comunidades",c(-115.529103878, 29.3769455823683)
"6610",138,9.02102925622583,"Outside","Escenario III: Comunidades",c(-115.529103878001, 28.3769457102935)
"6611",139,412.962961409897,"Inside","Escenario III: Comunidades",c(-115.529103878001, 28.2769457221173)
"6612",140,412.986077979384,"Outside","Escenario III: Comunidades",c(-115.529103878, 28.176945733775)
"6613",141,12.9995734199233,"Outside","Escenario III: Comunidades",c(-115.529103878001, 28.076945745264)
"6614",142,39.9980967007763,"Outside","Escenario III: Comunidades",c(-115.529103878, 27.9769457565732)
"6615",143,35.0018394761547,"Outside","Escenario III: Comunidades",c(-115.529103877999, 27.8769457677247)
"6616",144,NA,"Outside","Escenario III: Comunidades",c(-115.429103878, 29.5769455546489)
"6617",145,23.0010082800372,"Outside","Escenario III: Comunidades",c(-115.429103878, 29.4769455685997)
"6618",146,47.0059505227943,"Outside","Escenario III: Comunidades",c(-115.429103878001, 29.3769455823694)
"6619",147,113.000146084774,"Outside","Escenario III: Comunidades",c(-115.429103878003, 29.2769455959559)
"6620",148,31.0085190082779,"Outside","Escenario III: Comunidades",c(-115.429103878001, 28.5769456861092)
"6621",149,28.0138208090567,"Outside","Escenario III: Comunidades",c(-115.429103878002, 28.4769456982878)
"6622",150,16.0004145702349,"Outside","Escenario III: Comunidades",c(-115.429103878, 28.3769457102937)
"6623",151,2.01673874973137,"Inside","Escenario III: Comunidades",c(-115.429103878, 28.2769457221172)
"6624",152,2.01593858707182,"Inside","Escenario III: Comunidades",c(-115.429103878002, 28.1769457337756)
"6625",153,177.983490029593,"Outside","Escenario III: Comunidades",c(-115.429103878, 28.0769457452626)
"6626",154,421.97114047898,"Outside","Escenario III: Comunidades",c(-115.429103878001, 27.9769457565746)
"6627",155,84.0175939375801,"Outside","Escenario III: Comunidades",c(-115.429103878002, 27.8769457677228)
"6628",156,NA,"Outside","Escenario III: Comunidades",c(-115.329103877999, 29.5769455546497)
"6629",157,NA,"Outside","Escenario III: Comunidades",c(-115.329103878, 29.4769455686)
"6630",158,39.0003101879063,"Outside","Escenario III: Comunidades",c(-115.329103877998, 29.3769455823687)
"6631",159,26.0041011601479,"Outside","Escenario III: Comunidades",c(-115.329103877997, 29.2769455959567)
"6632",160,33.0031068201991,"Outside","Escenario III: Comunidades",c(-115.329103878, 28.5769456861097)
"6633",161,8.00220012301232,"Outside","Escenario III: Comunidades",c(-115.329103877999, 28.4769456982871)
"6634",162,1.00098143164203,"Outside","Escenario III: Comunidades",c(-115.329103878, 28.3769457102935)
"6635",163,1.0000388110634,"Inside","Escenario III: Comunidades",c(-115.329103878, 28.2769457221172)
"6636",164,5.99955820243961,"Inside","Escenario III: Comunidades",c(-115.329103877998, 28.1769457337753)
"6637",165,389.969717296643,"Inside","Escenario III: Comunidades",c(-115.329103877999, 28.0769457452627)
"6638",166,71.031973999393,"Outside","Escenario III: Comunidades",c(-115.329103878, 27.9769457565757)
"6639",167,76.0000226210355,"Outside","Escenario III: Comunidades",c(-115.329103877999, 27.8769457677216)
"6640",168,134.993488365449,"Outside","Escenario III: Comunidades",c(-115.329103878001, 27.7769457786969)
"6641",169,NA,"Inside","Escenario III: Comunidades",c(-115.229103877999, 29.4769455686005)
"6642",170,NA,"Outside","Escenario III: Comunidades",c(-115.229103878001, 29.3769455823685)
"6643",171,2.0009307486517,"Outside","Escenario III: Comunidades",c(-115.229103878002, 29.2769455959562)
"6644",172,8.00102071449106,"Outside","Escenario III: Comunidades",c(-115.229103878002, 29.1769456093685)
"6645",173,11.0009670007141,"Outside","Escenario III: Comunidades",c(-115.229103877998, 28.5769456861089)
"6646",174,5.00045827919833,"Outside","Escenario III: Comunidades",c(-115.229103877998, 28.4769456982877)
"6647",175,309.970601276278,"Inside","Escenario III: Comunidades",c(-115.229103878, 28.3769457102929)
"6648",176,3.01748866184906,"Outside","Escenario III: Comunidades",c(-115.229103878002, 28.2769457221183)
"6649",177,3.00011632890441,"Outside","Escenario III: Comunidades",c(-115.229103878001, 28.1769457337751)
"6650",178,198.007444904118,"Outside","Escenario III: Comunidades",c(-115.229103878, 28.0769457452631)
"6651",179,8.00244385091825,"Outside","Escenario III: Comunidades",c(-115.229103877998, 27.9769457565746)
"6652",180,23.0011902037604,"Inside","Escenario III: Comunidades",c(-115.229103878, 27.8769457677235)
"6653",181,52.0015428510975,"Outside","Escenario III: Comunidades",c(-115.229103878001, 27.776945778697)
"6654",182,64.9998679952526,"Outside","Escenario III: Comunidades",c(-115.229103878001, 27.6769457895023)
"6655",183,122.994735844862,"Outside","Escenario III: Comunidades",c(-115.229103877999, 27.576945800141)
"6656",184,NA,"Inside","Escenario III: Comunidades",c(-115.129103878, 29.3769455823694)
"6657",185,NA,"Outside","Escenario III: Comunidades",c(-115.129103877999, 29.2769455959554)
"6658",186,1.00027144689846,"Outside","Escenario III: Comunidades",c(-115.129103877999, 29.1769456093689)
"6659",187,20.0008450208433,"Outside","Escenario III: Comunidades",c(-115.129103878003, 28.5769456861096)
"6660",188,4.000950483737,"Outside","Escenario III: Comunidades",c(-115.129103878002, 28.4769456982864)
"6661",189,3.01196188594039,"Outside","Escenario III: Comunidades",c(-115.129103878, 28.3769457102949)
"6662",190,36.9967367168078,"Outside","Escenario III: Comunidades",c(-115.129103878, 28.2769457221172)
"6663",191,3.00194940794423,"Inside","Escenario III: Comunidades",c(-115.129103877999, 28.1769457337751)
"6664",192,NA,"Inside","Escenario III: Comunidades",c(-115.129103877999, 28.0769457452624)
"6665",193,NA,"Inside","Escenario III: Comunidades",c(-115.129103878002, 27.9769457565758)
"6666",194,15.5002908165675,"Inside","Escenario III: Comunidades",c(-115.129103878002, 27.8769457677236)
"6667",195,37.5005622450077,"Outside","Escenario III: Comunidades",c(-115.129103878, 27.7769457786962)
"6668",196,171.995850509991,"Outside","Escenario III: Comunidades",c(-115.129103878001, 27.6769457895038)
"6669",197,48.0101002649655,"Outside","Escenario III: Comunidades",c(-115.129103878002, 27.5769458001393)
"6670",198,NA,"Outside","Escenario III: Comunidades",c(-115.029103877999, 31.9769451642389)
"6671",199,NA,"Inside","Escenario III: Comunidades",c(-115.029103877999, 31.8769451826997)
"6672",200,NA,"Outside","Escenario III: Comunidades",c(-115.029103877998, 29.3769455823695)
"6673",201,2,"Outside","Escenario III: Comunidades",c(-115.029103877999, 29.2769455959557)
"6674",202,12.9989176334668,"Outside","Escenario III: Comunidades",c(-115.029103877999, 29.1769456093687)
"6675",203,3.00056223350072,"Outside","Escenario III: Comunidades",c(-115.029103877998, 29.0769456225967)
"6676",204,22.9988643513495,"Outside","Escenario III: Comunidades",c(-115.029103877997, 28.4769456982866)
"6677",205,10.0004708518686,"Outside","Escenario III: Comunidades",c(-115.029103877999, 28.3769457102951)
"6678",206,40.9980710172657,"Outside","Escenario III: Comunidades",c(-115.029103877998, 28.2769457221166)
"6679",207,24.0001603999282,"Outside","Escenario III: Comunidades",c(-115.029103877998, 28.1769457337749)
"6680",208,8.00072530651197,"Inside","Escenario III: Comunidades",c(-115.029103877999, 28.0769457452631)
"6681",209,2.00046172112502,"Outside","Escenario III: Comunidades",c(-115.029103877998, 27.9769457565763)
"6682",210,NA,"Inside","Escenario III: Comunidades",c(-115.029103877997, 27.8769457677218)
"6683",211,NA,"Inside","Escenario III: Comunidades",c(-115.029103877996, 27.7769457786963)
"6684",212,91.0031411768815,"Inside","Escenario III: Comunidades",c(-115.029103877996, 27.6769457895043)
"6685",213,59.001429672102,"Outside","Escenario III: Comunidades",c(-115.029103877996, 27.5769458001398)
"6686",214,93.999672481281,"Outside","Escenario III: Comunidades",c(-115.029103877996, 27.4769458106087)
"6687",215,NA,"Inside","Escenario III: Comunidades",c(-114.929103878, 31.8769451827002)
"6688",216,NA,"Inside","Escenario III: Comunidades",c(-114.929103877998, 31.7769452009638)
"6689",217,NA,"Outside","Escenario III: Comunidades",c(-114.929103878001, 31.1769453064841)
"6690",218,NA,"Outside","Escenario III: Comunidades",c(-114.929103878002, 29.3769455823683)
"6691",219,NA,"Outside","Escenario III: Comunidades",c(-114.929103878002, 29.2769455959578)
"6692",220,7.50021326607396,"Outside","Escenario III: Comunidades",c(-114.929103878, 29.1769456093683)
"6693",221,4.99992246179702,"Outside","Escenario III: Comunidades",c(-114.929103878, 29.0769456225965)
"6694",222,4.00063801937223,"Outside","Escenario III: Comunidades",c(-114.929103878, 28.9769456356534)
"6695",223,52.9999884088053,"Outside","Escenario III: Comunidades",c(-114.929103878002, 28.3769457102931)
"6696",224,133.991758654499,"Outside","Escenario III: Comunidades",c(-114.929103878001, 28.2769457221177)
"6697",225,51.0037118263289,"Outside","Escenario III: Comunidades",c(-114.929103878, 28.1769457337747)
"6698",226,21.0012194080318,"Outside","Escenario III: Comunidades",c(-114.929103878, 28.0769457452642)
"6699",227,4.00090103304185,"Outside","Escenario III: Comunidades",c(-114.929103877999, 27.976945756574)
"6700",228,6.99963307510105,"Outside","Escenario III: Comunidades",c(-114.929103877999, 27.8769457677223)
"6701",229,NA,"Inside","Escenario III: Comunidades",c(-114.929103878001, 27.6769457895035)
"6702",230,26.0012798120857,"Outside","Escenario III: Comunidades",c(-114.929103878, 27.5769458001399)
"6703",231,162.989363873613,"Outside","Escenario III: Comunidades",c(-114.929103878001, 27.4769458106099)
"6704",232,326.982426560133,"Outside","Escenario III: Comunidades",c(-114.929103878001, 27.3769458209077)
"6705",233,NA,"Inside","Escenario III: Comunidades",c(-114.829103877999, 31.8769451826997)
"6706",234,NA,"Inside","Escenario III: Comunidades",c(-114.829103878, 31.7769452009632)
"6707",235,NA,"Inside","Escenario III: Comunidades",c(-114.829103878, 31.6769452190327)
"6708",236,NA,"Inside","Escenario III: Comunidades",c(-114.829103877999, 31.5769452369129)
"6709",237,NA,"Inside","Escenario III: Comunidades",c(-114.829103877998, 31.4769452545904)
"6710",238,NA,"Inside","Escenario III: Comunidades",c(-114.829103877999, 31.3769452720866)
"6711",239,2,"Outside","Escenario III: Comunidades",c(-114.829103877998, 31.2769452893824)
"6712",240,NA,"Outside","Escenario III: Comunidades",c(-114.829103877998, 31.1769453064829)
"6713",241,NA,"Outside","Escenario III: Comunidades",c(-114.829103878, 31.0769453234038)
"6714",242,NA,"Outside","Escenario III: Comunidades",c(-114.829103878, 30.9769453401263)
"6715",243,NA,"Inside","Escenario III: Comunidades",c(-114.829103877997, 29.2769455959563)
"6716",244,1,"Outside","Escenario III: Comunidades",c(-114.829103877998, 29.176945609369)
"6717",245,17.9985400558018,"Outside","Escenario III: Comunidades",c(-114.829103877999, 29.0769456225966)
"6718",246,12.9999327540717,"Outside","Escenario III: Comunidades",c(-114.829103877998, 28.9769456356522)
"6719",247,7.00041644783606,"Outside","Escenario III: Comunidades",c(-114.829103878, 28.8769456485322)
"6720",248,67.9996136680543,"Outside","Escenario III: Comunidades",c(-114.829103877999, 28.076945745265)
"6721",249,28.0013718580841,"Outside","Escenario III: Comunidades",c(-114.829103877999, 27.976945756573)
"6722",250,19.9999572533243,"Outside","Escenario III: Comunidades",c(-114.829103877999, 27.8769457677232)
"6723",251,19.999495860216,"Outside","Escenario III: Comunidades",c(-114.829103877998, 27.7769457786968)
"6724",252,NA,"Outside","Escenario III: Comunidades",c(-114.829103877998, 27.676945789504)
"6725",253,96.9972466202716,"Inside","Escenario III: Comunidades",c(-114.829103878, 27.5769458001403)
"6726",254,261.986573339457,"Outside","Escenario III: Comunidades",c(-114.829103877999, 27.4769458106091)
"6727",255,1005.93036215863,"Outside","Escenario III: Comunidades",c(-114.829103877997, 27.3769458209074)
"6728",256,NA,"Inside","Escenario III: Comunidades",c(-114.729103878001, 31.7769452009629)
"6729",257,NA,"Inside","Escenario III: Comunidades",c(-114.729103878, 31.6769452190326)
"6730",258,NA,"Inside","Escenario III: Comunidades",c(-114.729103878, 31.576945236912)
"6731",259,25,"Inside","Escenario III: Comunidades",c(-114.729103878, 31.476945254591)
"6732",260,67.9968993207156,"Inside","Escenario III: Comunidades",c(-114.729103878, 31.3769452720864)
"6733",261,67.9974405203651,"Outside","Escenario III: Comunidades",c(-114.729103877999, 31.2769452893818)
"6734",262,NA,"Outside","Escenario III: Comunidades",c(-114.729103877999, 31.1769453064834)
"6735",263,1,"Outside","Escenario III: Comunidades",c(-114.729103878001, 31.0769453234053)
"6736",264,103.992502716082,"Outside","Escenario III: Comunidades",c(-114.729103877999, 30.9769453401239)
"6737",265,194.993361137241,"Outside","Escenario III: Comunidades",c(-114.729103877998, 30.8769453566624)
"6738",266,3111.78671491704,"Outside","Escenario III: Comunidades",c(-114.729103877998, 30.7769453730052)
"6739",267,3776.95126911541,"Inside","Escenario III: Comunidades",c(-114.729103877999, 30.6769453891621)
"6740",268,NA,"Inside","Escenario III: Comunidades",c(-114.729103878001, 30.5769454051371)
"6741",269,45.998254899814,"Outside","Escenario III: Comunidades",c(-114.729103878, 29.176945609369)
"6742",270,34.9999591644977,"Inside","Escenario III: Comunidades",c(-114.729103878001, 29.0769456225977)
"6743",271,2.00228628401151,"Inside","Escenario III: Comunidades",c(-114.729103878003, 28.9769456356513)
"6744",272,5.99981286061636,"Outside","Escenario III: Comunidades",c(-114.729103877999, 28.8769456485319)
"6745",273,4.00139289445793,"Outside","Escenario III: Comunidades",c(-114.729103878, 28.7769456612304)
"6746",274,25.0049517633401,"Outside","Escenario III: Comunidades",c(-114.729103878001, 27.9769457565732)
"6747",275,35.9987451127227,"Outside","Escenario III: Comunidades",c(-114.729103878001, 27.8769457677233)
"6748",276,35.9993795198816,"Outside","Escenario III: Comunidades",c(-114.729103878001, 27.7769457786954)
"6749",277,NA,"Outside","Escenario III: Comunidades",c(-114.729103878001, 27.5769458001418)
"6750",278,73.0073290522542,"Inside","Escenario III: Comunidades",c(-114.729103878002, 27.4769458106078)
"6751",279,494.995251632133,"Outside","Escenario III: Comunidades",c(-114.729103878001, 27.3769458209066)
"6752",280,311.008519950978,"Outside","Escenario III: Comunidades",c(-114.729103878, 27.276945831047)
"6753",281,149.010470531862,"Outside","Escenario III: Comunidades",c(-114.729103877999, 27.1769458410124)
"6754",282,NA,"Inside","Escenario III: Comunidades",c(-114.629103877998, 31.7769452009634)
"6755",283,NA,"Inside","Escenario III: Comunidades",c(-114.629103877999, 31.6769452190321)
"6756",284,52,"Inside","Escenario III: Comunidades",c(-114.629103877999, 31.5769452369128)
"6757",285,141.990733792737,"Inside","Escenario III: Comunidades",c(-114.629103877999, 31.4769452545904)
"6758",286,96.0013391382471,"Inside","Escenario III: Comunidades",c(-114.629103878, 31.3769452720871)
"6759",287,95.9989141596774,"Inside","Escenario III: Comunidades",c(-114.629103878001, 31.2769452893816)
"6760",288,NA,"Outside","Escenario III: Comunidades",c(-114.629103878002, 31.1769453064841)
"6761",289,1,"Outside","Escenario III: Comunidades",c(-114.629103878, 31.0769453234038)
"6762",290,377.969242583157,"Outside","Escenario III: Comunidades",c(-114.629103877999, 30.9769453401239)
"6763",291,1750.86611398701,"Outside","Escenario III: Comunidades",c(-114.629103878001, 30.8769453566629)
"6764",292,2394.99319838183,"Inside","Escenario III: Comunidades",c(-114.629103878002, 30.7769453730053)
"6765",293,2473.0463643668,"Inside","Escenario III: Comunidades",c(-114.629103878002, 30.6769453891626)
"6766",294,915.1951971226,"Inside","Escenario III: Comunidades",c(-114.629103878, 30.576945405137)
"6767",295,183.053873024841,"Inside","Escenario III: Comunidades",c(-114.629103878, 30.4769454209129)
"6768",296,954.943062638432,"Inside","Escenario III: Comunidades",c(-114.629103878001, 30.3769454365162)
"6769",297,638.023428550935,"Inside","Escenario III: Comunidades",c(-114.629103878, 30.2769454519214)
"6770",298,655.998666931647,"Inside","Escenario III: Comunidades",c(-114.629103878, 30.1769454671474)
"6771",299,334.023895553414,"Outside","Escenario III: Comunidades",c(-114.629103878, 30.0769454821922)
"6772",300,185.994144243554,"Inside","Escenario III: Comunidades",c(-114.629103878, 29.0769456225982)
"6773",301,50.0058028212686,"Inside","Escenario III: Comunidades",c(-114.629103878, 28.9769456356519)
"6774",302,9.00219945950665,"Outside","Escenario III: Comunidades",c(-114.629103878001, 28.876945648532)
"6775",303,1.00056922540258,"Outside","Escenario III: Comunidades",c(-114.629103878001, 28.7769456612317)
"6776",304,23.9995869322478,"Outside","Escenario III: Comunidades",c(-114.629103878, 28.6769456737558)
"6777",305,25.0040296325,"Outside","Escenario III: Comunidades",c(-114.629103877999, 27.9769457565732)
"6778",306,15.0013911054256,"Outside","Escenario III: Comunidades",c(-114.629103878, 27.8769457677242)
"6779",307,15.0008143805404,"Outside","Escenario III: Comunidades",c(-114.629103878003, 27.7769457786961)
"6780",308,NA,"Outside","Escenario III: Comunidades",c(-114.629103878, 27.4769458106088)
"6781",309,14.018652233078,"Outside","Escenario III: Comunidades",c(-114.629103878001, 27.3769458209055)
"6782",310,361.977731383434,"Outside","Escenario III: Comunidades",c(-114.629103878, 27.2769458310459)
"6783",311,209.006609970659,"Outside","Escenario III: Comunidades",c(-114.629103878, 27.1769458410132)
"6784",312,118.005905772831,"Outside","Escenario III: Comunidades",c(-114.629103878001, 27.0769458508164)
"6785",313,NA,"Inside","Escenario III: Comunidades",c(-114.529103878001, 31.7769452009631)
"6786",314,NA,"Inside","Escenario III: Comunidades",c(-114.529103878001, 31.6769452190331)
"6787",315,50.0000775600395,"Inside","Escenario III: Comunidades",c(-114.529103878002, 31.5769452369126)
"6788",316,348.976261740608,"Inside","Escenario III: Comunidades",c(-114.529103878001, 31.4769452545899)
"6789",317,1,"Inside","Escenario III: Comunidades",c(-114.529103878, 31.0769453234033)
"6790",318,19.013921244121,"Inside","Escenario III: Comunidades",c(-114.529103878001, 30.9769453401245)
"6791",319,1160.96170663511,"Inside","Escenario III: Comunidades",c(-114.529103877999, 30.8769453566619)
"6792",320,1024.06052675458,"Inside","Escenario III: Comunidades",c(-114.529103877999, 30.7769453730067)
"6793",321,861.071297199278,"Inside","Escenario III: Comunidades",c(-114.529103878001, 30.6769453891624)
"6794",322,577.028460898221,"Inside","Escenario III: Comunidades",c(-114.529103878001, 30.5769454051359)
"6795",323,280.012339367822,"Inside","Escenario III: Comunidades",c(-114.529103877999, 30.4769454209132)
"6796",324,239.029993724718,"Inside","Escenario III: Comunidades",c(-114.529103877998, 30.376945436516)
"6797",325,221.017153237192,"Inside","Escenario III: Comunidades",c(-114.529103878, 30.2769454519221)
"6798",326,249.01425268224,"Inside","Escenario III: Comunidades",c(-114.529103878001, 30.176945467147)
"6799",327,4670.58939876667,"Inside","Escenario III: Comunidades",c(-114.529103877999, 30.0769454821913)
"6800",328,770.197523539694,"Outside","Escenario III: Comunidades",c(-114.529103877999, 29.9769454970502)
"6801",329,47.0001166372186,"Outside","Escenario III: Comunidades",c(-114.529103878, 28.9769456356522)
"6802",330,9.0021464488744,"Inside","Escenario III: Comunidades",c(-114.529103878, 28.8769456485324)
"6803",331,12.9993082171322,"Outside","Escenario III: Comunidades",c(-114.529103878, 28.7769456612313)
"6804",332,5.00119065194692,"Outside","Escenario III: Comunidades",c(-114.529103877999, 28.6769456737548)
"6805",333,9.00031548639556,"Outside","Escenario III: Comunidades",c(-114.529103877998, 28.5769456861101)
"6806",334,5.00326055724179,"Outside","Escenario III: Comunidades",c(-114.529103878001, 28.0769457452657)
