"","ID","fishing.effort.df","Solution","Category","geometry"
"107",107,75.0007879611426,"Inside","Escenario I: Ecológico ideal",c(-115.929103878002, 30.2769454519231)
"108",108,160.996927009841,"Inside","Escenario I: Ecológico ideal",c(-115.929103878003, 30.1769454671477)
"109",109,76.0069478466413,"Inside","Escenario I: Ecológico ideal",c(-115.929103878002, 30.0769454821904)
"110",110,28.0053143833922,"Inside","Escenario I: Ecológico ideal",c(-115.929103878001, 29.9769454970504)
"111",111,38.999820414383,"Outside","Escenario I: Ecológico ideal",c(-115.929103877999, 29.8769455117226)
"112",112,67.9975055306874,"Outside","Escenario I: Ecológico ideal",c(-115.929103877999, 29.7769455262152)
"113",113,140.994171586296,"Outside","Escenario I: Ecológico ideal",c(-115.929103878, 29.6769455405249)
"114",114,61,"Inside","Escenario I: Ecológico ideal",c(-115.829103878001, 30.3769454365173)
"115",115,52.0013825647425,"Inside","Escenario I: Ecológico ideal",c(-115.829103878001, 30.2769454519231)
"116",116,88.000862660903,"Inside","Escenario I: Ecológico ideal",c(-115.829103878, 30.1769454671471)
"117",117,8.00702280249495,"Inside","Escenario I: Ecológico ideal",c(-115.829103878, 30.0769454821901)
"118",118,8.0007757023501,"Inside","Escenario I: Ecológico ideal",c(-115.829103878, 29.9769454970503)
"119",119,33.5002132665601,"Inside","Escenario I: Ecológico ideal",c(-115.829103878001, 29.8769455117221)
"120",120,24.0017062581454,"Inside","Escenario I: Ecológico ideal",c(-115.829103878001, 29.7769455262151)
"121",121,111.996248990212,"Outside","Escenario I: Ecológico ideal",c(-115.829103878, 29.6769455405249)
"122",122,140.995480877002,"Outside","Escenario I: Ecológico ideal",c(-115.829103877998, 29.5769455546501)
"123",123,NA,"Inside","Escenario I: Ecológico ideal",c(-115.729103877999, 29.9769454970513)
"124",124,NA,"Inside","Escenario I: Ecológico ideal",c(-115.729103878, 29.8769455117226)
"125",125,NA,"Inside","Escenario I: Ecológico ideal",c(-115.729103877999, 29.776945526214)
"126",126,68.0017061312786,"Inside","Escenario I: Ecológico ideal",c(-115.729103878001, 29.6769455405265)
"127",127,188.998138496555,"Outside","Escenario I: Ecológico ideal",c(-115.729103878002, 29.5769455546482)
"128",128,198.995138696713,"Outside","Escenario I: Ecológico ideal",c(-115.729103877999, 29.4769455686004)
